dataset,seed,n_labeled,treatment,control,treatment_method,control_method,metric,delta
steel-plates-fault,2,100,0.2947632614299281,0.6632966767521905,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.3685334153222624
steel-plates-fault,2,250,0.3277741183442937,0.6659211425815436,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.33814702423724985
steel-plates-fault,2,500,0.5847004760068669,0.727315386275286,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.1426149102684191
steel-plates-fault,2,50,0.3326995373048005,0.6455229230761812,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.3128233857713807
adult,0,500,0.7384466892963022,0.6947486018792337,laplacian_ssl,label_spreading,metric_balanced_accuracy,0.04369808741706849
adult,1,100,0.5,0.6564003315820635,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.15640033158206346
adult,1,250,0.5072711719418306,0.7068159373046974,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.1995447653628668
adult,1,500,0.7366449406970705,0.7047737675350032,laplacian_ssl,label_spreading,metric_balanced_accuracy,0.031871173162067334
adult,2,100,0.5224550898203593,0.7113772052181466,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.18892211539778736
adult,2,500,0.7699648571822271,0.7282759010498525,laplacian_ssl,label_spreading,metric_balanced_accuracy,0.041688956132374555
adult,2,50,0.5147562018819504,0.7264640509626114,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.21170784908066098
jannis,0,100,0.324536823636623,0.3524280914044069,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.02789126776778389
jannis,0,250,0.394840352785283,0.3530228678582393,laplacian_ssl,label_spreading,metric_balanced_accuracy,0.041817484927043735
jannis,0,500,0.3934878192398301,0.3511454319065865,laplacian_ssl,label_spreading,metric_balanced_accuracy,0.042342387333243636
jannis,0,50,0.3222732935788394,0.3625550329716506,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.04028173939281121
jannis,1,100,0.3243989623247157,0.3489887873634997,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.024589825038783986
jannis,1,250,0.3766800458505838,0.3607046397376721,laplacian_ssl,label_spreading,metric_balanced_accuracy,0.015975406112911705
jannis,1,500,0.3805416692824844,0.343664294723955,laplacian_ssl,label_spreading,metric_balanced_accuracy,0.03687737455852941
jannis,1,50,0.3418813722584275,0.3359740648602401,laplacian_ssl,label_spreading,metric_balanced_accuracy,0.0059073073981874
jannis,2,100,0.320681600003967,0.3579133597057445,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.0372317597017775
jannis,2,250,0.3860127214433378,0.3893332638315652,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.0033205423882273766
jannis,2,500,0.3829678218732166,0.3636717320422307,laplacian_ssl,label_spreading,metric_balanced_accuracy,0.019296089830985907
jannis,2,50,0.3053689846537093,0.3169950903465266,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.011626105692817301
