dataset,dataset_id,method,n_labeled,metric_accuracy_mean,metric_accuracy_std,metric_accuracy_count,metric_balanced_accuracy_mean,metric_balanced_accuracy_std,metric_balanced_accuracy_count,metric_macro_f1_mean,metric_macro_f1_std,metric_macro_f1_count,metric_f1_macro_mean,metric_f1_macro_std,metric_f1_macro_count,metric_roc_auc_mean,metric_roc_auc_std,metric_roc_auc_count,metric_average_precision_mean,metric_average_precision_std,metric_average_precision_count,metric_log_loss_mean,metric_log_loss_std,metric_log_loss_count,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_count,n_pseudo_added_total_mean,n_pseudo_added_total_std,n_pseudo_added_total_count,pseudo_label_fraction_mean,pseudo_label_fraction_std,pseudo_label_fraction_count
phoneme,1489,rpl_lr,250,0.7400555041628122,,1,0.6370691363733959,,1,0.6474638627276894,,1,0.6474638627276894,,1,0.8030249227872562,,1,0.591431136478525,,1,0.8102508783340454,,1,0.3023,,1,,,0,,,0
phoneme,1489,rpl_lr,500,0.723404255319149,,1,0.6169835004211603,,1,0.6248814767102461,,1,0.6248814767102461,,1,0.7939906188580773,,1,0.5576074079651097,,1,0.5748620629310608,,1,0.2969,,1,,,0,,,0
phoneme,1489,self_training_catboost,50,0.7382053654024052,,1,0.5988467636711976,,1,0.6022516144718041,,1,0.6022516144718041,,1,0.8078249128775992,,1,0.6048392223626845,,1,0.4899920431601623,,1,0.7611,,1,0.0,,1,0.0,,1
phoneme,1489,self_training_catboost,100,0.7493061979648473,,1,0.643613638991197,,1,0.6555402044763747,,1,0.6555402044763747,,1,0.8356049845574512,,1,0.5918052754718709,,1,0.4566050370197372,,1,0.8791,,1,0.0,,1,0.0,,1
phoneme,1489,self_training_catboost,250,0.7844588344125809,,1,0.7155474259666045,,1,0.7257961093492975,,1,0.7257961093492975,,1,0.8594851933208912,,1,0.645258756321203,,1,0.4213471282112843,,1,2.9857,,1,750.0,,1,0.1841394549472133,,1
phoneme,1489,self_training_catboost,500,0.8075855689176689,,1,0.7411370505557666,,1,0.7538706739526411,,1,0.7538706739526411,,1,0.8790691528894907,,1,0.7303413443830136,,1,0.3884141561491449,,1,3.528,,1,750.0,,1,0.1961810096782631,,1
phoneme,1489,self_training_lightgbm,50,0.7067530064754857,,1,0.5,,1,0.4140921409214092,,1,0.4140921409214092,,1,0.5,,1,0.2932469935245143,,1,0.6051424941170336,,1,0.6965,,1,0.0,,1,0.0,,1
phoneme,1489,self_training_lightgbm,100,0.7770582793709528,,1,0.7370740912018763,,1,0.7342178421860733,,1,0.7342178421860733,,1,0.8414620047236032,,1,0.615274293177774,,1,1.658255130847138,,1,22.0287,,1,2015.0,,1,0.477148946246744,,1
phoneme,1489,self_training_lightgbm,250,0.8029602220166513,,1,0.7683184137942425,,1,0.7650970970358242,,1,0.7650970970358242,,1,0.867066080895833,,1,0.6722101204542068,,1,1.4108067571917762,,1,24.5888,,1,1989.0,,1,0.4883378345200098,,1
phoneme,1489,self_training_lightgbm,500,0.8316373728029602,,1,0.7941433927362214,,1,0.7957735075029688,,1,0.7957735075029688,,1,0.893479445719854,,1,0.7587001593654432,,1,1.0495740840729506,,1,31.4176,,1,1867.0,,1,0.4883599267590897,,1
phoneme,1489,self_training_lr,50,0.7187789084181314,,1,0.5611095512577007,,1,0.5492076730608841,,1,0.5492076730608841,,1,0.770157893867574,,1,0.517856183146066,,1,0.9141955971717834,,1,0.1979,,1,2116.0,,1,0.4952024338871987,,1
phoneme,1489,self_training_lr,100,0.7326549491211841,,1,0.633679207888087,,1,0.6428782906205668,,1,0.6428782906205668,,1,0.7960014534163542,,1,0.5499290190983781,,1,0.7436176538467407,,1,0.1458,,1,2111.0,,1,0.4998816007577552,,1
phoneme,1489,self_training_lr,250,0.7317298797409806,,1,0.6256420631905792,,1,0.6347598542255031,,1,0.6347598542255031,,1,0.7992881563083225,,1,0.5692267053061957,,1,0.5812085270881653,,1,0.0783,,1,1767.0,,1,0.4338325558556347,,1
phoneme,1489,self_training_lr,500,0.7243293246993524,,1,0.6296348291409979,,1,0.6375258799171842,,1,0.6375258799171842,,1,0.7869341172973063,,1,0.5426038928546016,,1,0.5309350490570068,,1,0.1207,,1,1485.0,,1,0.388438399162961,,1
phoneme,1489,self_training_xgboost,50,0.7409805735430157,,1,0.6349550762217782,,1,0.645507355007964,,1,0.645507355007964,,1,0.741876145804086,,1,0.5273529978982499,,1,1.070950627326965,,1,16.4553,,1,1631.0,,1,0.3816990404867774,,1
phoneme,1489,self_training_xgboost,100,0.7650323774283071,,1,0.7156465225362115,,1,0.71604409696368,,1,0.71604409696368,,1,0.819437792128429,,1,0.5907771194176744,,1,0.8420788645744324,,1,11.5329,,1,1948.0,,1,0.4612834477859341,,1
